"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.316868665E0,1.249280691E0,-6.154346466E-1,1.452080727E0,2.011964335E0
1.321904602E0,1.076727986E0,-6.436846256E-1,1.217718124E0,1.748287872E0
1.326940540E0,7.070298195E-1,-5.568947792E-1,1.000802040E0,1.345967193E0
1.331976477E0,2.208596468E-1,-3.700559139E-1,7.729282379E-1,8.849510856E-1
1.337012415E0,-2.868098021E-1,-2.268621922E-1,4.817543030E-1,6.048252022E-1
1.342048352E0,-7.869254351E-1,-1.154665947E-1,2.181320190E-1,8.247216213E-1
1.347084290E0,-1.184697390E0,-2.157497406E-2,4.867172241E-2,1.185893048E0
1.352120227E0,-1.183229208E0,2.380800247E-2,-1.702404022E-1,1.195650440E0
1.357156112E0,-8.543113470E-1,-1.506805420E-2,-4.314804077E-1,9.572096250E-1
1.362192050E0,-4.049966335E-1,-1.117341518E-1,-6.350002289E-1,7.614013952E-1
1.367227987E0,-2.656006813E-2,-1.898472309E-1,-8.074178696E-1,8.298620514E-1
1.372263925E0,2.240971327E-1,-2.187693119E-1,-9.370212555E-1,9.879718467E-1
1.377299862E0,3.611998558E-1,-2.036857605E-1,-1.114826679E0,1.189450188E0
1.382335800E0,3.382904530E-1,-1.333446503E-1,-1.343349457E0,1.391692850E0
1.387371737E0,2.612681389E-1,-1.108589172E-1,-1.611007214E0,1.635816305E0
1.392407675E0,1.110465527E-1,-7.912063599E-2,-1.899298668E0,1.904186661E0
1.397443560E0,-1.820125580E-1,-4.100108147E-2,-2.180376053E0,2.188343984E0
1.402479498E0,-6.014420986E-1,-1.860046387E-2,-2.385921955E0,2.460630438E0
1.407515435E0,-1.121480942E0,-2.440142632E-2,-2.483676910E0,2.725246031E0
1.412551373E0,-1.617605925E0,-1.232829094E-1,-2.367253780E0,2.869797565E0
1.417587310E0,-1.985019684E0,-1.914925575E-1,-1.937132835E0,2.780189952E0
1.422623248E0,-2.172142029E0,-2.321054935E-1,-1.250972271E0,2.517340973E0
1.427659185E0,-2.176425934E0,-2.050065994E-1,-4.303016663E-1,2.228007423E0
1.432695071E0,-1.944887280E0,-1.987555027E-1,3.322582245E-1,1.983049624E0
1.437731008E0,-1.579313755E0,-1.129667759E-1,1.064267159E0,1.907788776E0
1.442766946E0,-1.238298416E0,-5.007982254E-3,1.745399475E0,2.140053124E0
1.447802883E0,-8.312692642E-1,1.395304203E-1,2.197486877E0,2.353598501E0
1.452838821E0,-4.714642763E-1,3.227260113E-1,2.383279800E0,2.450806653E0
1.457874758E0,-3.288002014E-1,5.748534203E-1,2.401505470E0,2.491143222E0
1.462910696E0,-4.376561642E-1,8.927366734E-1,2.565595627E0,2.751509151E0
1.467946633E0,-4.985769987E-1,1.177624941E0,2.835298538E0,3.110353248E0
1.472982519E0,-5.262674093E-1,1.250151873E0,3.168320656E0,3.446460919E0
1.478018456E0,-6.392031312E-1,1.170321941E0,3.496263504E0,3.741937009E0
1.483054394E0,-7.770295739E-1,9.455618858E-1,3.753099442E0,3.947609106E0
1.488090331E0,-7.662073374E-1,6.025409698E-1,3.944317818E0,4.062975800E0
1.493126269E0,-6.101629138E-1,3.279008865E-1,4.285197258E0,4.340821732E0
1.498162206E0,-3.444535434E-1,3.317446709E-1,4.839854240E0,4.863423880E0
1.503198144E0,1.790919900E-2,4.729161263E-1,5.414325714E0,5.434969488E0
1.508234081E0,3.999199867E-1,5.846343040E-1,5.829400063E0,5.872277101E0
1.513269967E0,7.425106168E-1,5.628228188E-1,5.918156624E0,5.991049104E0
1.518305904E0,1.070301771E0,4.302983284E-1,5.638175011E0,5.754973500E0
1.523341842E0,1.258591056E0,2.422666550E-2,4.822857857E0,4.984435403E0
1.528377779E0,1.199845552E0,-3.411512375E-1,3.848235130E0,4.045358715E0
1.533413717E0,9.276580811E-1,-6.371026039E-1,2.965434074E0,3.171789478E0
1.538449654E0,4.017025828E-1,-8.875179291E-1,2.329399109E0,2.524906582E0
1.543485592E0,-7.319498062E-2,-1.084809303E0,1.827104568E0,2.126142007E0
1.548521477E0,-3.284195065E-1,-1.335894585E0,1.436529160E0,1.988992142E0
1.553557415E0,-4.754955173E-1,-1.582354069E0,1.285717010E0,2.093563617E0
1.558593352E0,-4.855481386E-1,-1.816069603E0,1.296893120E0,2.283812068E0
1.563629290E0,-4.270713031E-1,-2.000371933E0,1.354223251E0,2.453120132E0
1.568665227E0,-2.380813211E-1,-2.194365263E0,1.273101807E0,2.548079636E0
1.573701165E0,-4.485073686E-2,-2.330475569E0,9.936275482E-1,2.533855495E0
1.578737102E0,-1.420125663E-1,-2.448915005E0,5.970778465E-1,2.524649327E0
1.583773040E0,-5.261853337E-1,-2.537447453E0,1.026268005E-1,2.593461556E0
1.588808925E0,-9.851033688E-1,-2.607687473E0,-4.324145317E-1,2.820894350E0
1.593844862E0,-1.614533424E0,-2.663897514E0,-8.508968353E-1,3.229101047E0
