Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),Velocity x (m/s),Velocity y (m/s),Velocity z (m/s),Position x (m),Position y (m),Position z (m)
181.0113093,-7.906587771004739,-5.5990884911156185,-10.454289140318425,14.43208909073234,-292.08146296936184,39.449463401704904,-119.23453575462649,-8918.986663306225,1569.3665222126992,-4112.114673021756
181.0163453,-7.918277591834627,-5.607125184629984,-10.463333268853944,14.449275980489958,-292.12128054537675,39.42126639206354,-119.28718355473733,-8920.457685814401,1569.5651187103208,-4112.71527071098
181.0213813,-7.929766643840213,-5.615077331977632,-10.472003181471067,14.466143324085964,-292.16115699132916,39.393028909633806,-119.33987690107917,-8921.928908992117,1569.7635731058901,-4113.316133649207
181.0264172,-7.941061802030634,-5.622939604880623,-10.480287282066499,14.482682870137666,-292.20109050317086,39.364751941697726,-119.39261286190069,-8923.400303913193,1569.9618812601846,-4113.917250121805
181.0314532,-7.952167423199955,-5.630706271098049,-10.488176503352651,14.498886503375045,-292.2410816904058,39.3364348178476,-119.44539158865307,-8924.871929302773,1570.1600508484446,-4114.518644217011
181.0364892,-7.963084906935737,-5.638370899935758,-10.495665925652668,14.514747348888179,-292.28112880554914,39.30807858106625,-119.49821004552415,-8926.343756228807,1570.3580777331838,-4115.120304205928
181.0415251,-7.973812891213694,-5.645926536388474,-10.502755816390891,14.530260862360937,-292.32123010483195,39.279684309051284,-119.5510651695591,-8927.815755738424,1570.555957790753,-4115.722218328456
181.0465611,-7.984348169452899,-5.653366365261972,-10.509451985322777,14.54542575999236,-292.36138622655204,39.25125142301409,-119.60395704785033,-8929.287986566344,1570.7536986869259,-4116.324410674398
181.0515971,-7.994687109825998,-5.66068460291579,-10.515765811712598,14.560244942106328,-292.4015954039335,39.222781069998526,-119.65688264804861,-8930.760419754095,1570.951296300744,-4116.926869468754
181.0566331,-8.004827068276704,-5.66787708937332,-10.5217139873189,14.574726121920353,-292.4418566482185,39.1942738623383,-119.70984004467628,-8932.23305556636,1571.1487504450633,-4117.529594876493
181.061669,-8.014767216821301,-5.674941217514522,-10.527317529081113,14.588881426741505,-292.4821681568516,39.165731000103946,-119.76282634414498,-8933.705865014615,1571.3460570193065,-4118.1325750768265
181.066705,-8.024508541678276,-5.681875384828972,-10.532599889129445,14.602725764264193,-292.5225305245557,39.13715199613244,-119.81584191522163,-8935.1789068459,1571.5432236786917,-4118.735834163505
181.071741,-8.034053300440766,-5.68867852238783,-10.537584675731573,14.616274693706146,-292.5629419495715,39.1085380716945,-119.86888408826317,-8936.652152065586,1571.740246326282,-4119.339360303581
181.076777,-8.043404492337542,-5.695350047903232,-10.542293545023167,14.629542694444513,-292.60340144199245,39.079889886655806,-119.92195136469005,-8938.125600918243,1571.9371247878805,-4119.9431536272505
181.081813,-8.052565713955879,-5.701890162058055,-10.54674434233153,14.642542153169002,-292.643908027016,39.05120810381446,-119.97504235498297,-8939.599253643491,1572.1338588926212,-4120.547214257439
